image,label,dataset,set0,set1,set2,set3,set4
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/59.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/231.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/175.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/318.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/477.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/78.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/247.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/367.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/410.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/412.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/375.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/365.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/266.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/18.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/168.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/109.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/179.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/395.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/476.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/386.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/53.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/420.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/9.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/39.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/307.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/101.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/312.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/327.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/370.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/469.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/308.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/287.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/298.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/42.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/105.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/387.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/92.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/332.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/169.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/411.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/300.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/333.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/473.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/238.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/19.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/23.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/244.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/431.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/437.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/245.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/405.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/123.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/400.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/388.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/157.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/110.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/189.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/211.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/348.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/377.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/80.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/277.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/170.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/359.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/236.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/237.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/182.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/353.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/278.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/224.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/56.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/285.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/174.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/402.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/331.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/70.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/252.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/27.png,Erythroblast,matek,test,train,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/356.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/138.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/294.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/217.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/49.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/290.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/490.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/40.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/115.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/140.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/31.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/322.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/399.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/299.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/32.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/73.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/89.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/76.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/120.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/141.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/36.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/383.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/347.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/149.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/273.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/466.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/47.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/373.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/204.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/154.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/311.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/452.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/317.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/125.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/192.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/355.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/480.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/389.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/171.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/86.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/432.png,Erythroblast,matek,train,test,train,train,train
/home/aih/jan.boada/project/codes/results/synthetic/matek/sd2.1/gs2.0_nis50/shot16_seed6_template1_lr0.0001_ep300/train/Erythroblast/496.png,Erythroblast,matek,train,test,train,train,train
